p_loss_%,algorithm,run_idx,tcr,rounds,cfr,time_ms
20,acbba,24,1.0,10,1.0,179.723
20,acbba,25,1.0,10,1.0,160.576
20,acbba,26,0.85,7,0.0,121.585
20,acbba,27,0.85,6,0.0,105.015
20,acbba,28,1.0,11,1.0,191.932
20,acbba,29,1.0,12,1.0,215.29
20,acbba,30,0.9,8,0.0,183.164
20,acbba,31,1.0,10,1.0,260.325
20,acbba,32,0.8,7,0.0,120.736
20,acbba,33,1.0,14,1.0,233.255
20,acbba,34,0.95,14,0.0,220.993
20,acbba,35,1.0,10,1.0,164.442
20,acbba,36,0.9,8,0.0,139.878
20,acbba,37,0.9,10,0.0,161.862
20,acbba,38,0.8,7,0.0,116.341
20,acbba,39,0.95,10,0.0,159.945
20,acbba,40,1.0,10,1.0,172.544
20,acbba,41,1.0,13,1.0,212.057
20,acbba,42,0.9,10,0.0,177.648
20,acbba,43,0.7,9,0.0,144.816
20,acbba,44,0.9,8,0.0,137.019
20,acbba,45,0.9,14,0.0,232.124
20,acbba,46,0.8,7,0.0,120.021
20,acbba,47,0.9,10,0.0,181.011
20,acbba,48,0.85,9,0.0,153.952
20,acbba,49,1.0,9,1.0,167.202
30,cbba,0,1.0,16,1.0,235.556
30,cbba,1,1.0,18,1.0,259.872
30,cbba,2,0.9,21,0.0,300.889
30,cbba,3,1.0,20,1.0,293.889
30,cbba,4,1.0,24,1.0,361.98
30,cbba,5,0.75,14,0.0,204.183
30,cbba,6,0.8,19,0.0,271.294
30,cbba,7,0.8,18,0.0,250.905
30,cbba,8,0.9,20,0.0,294.288
30,cbba,9,0.75,14,0.0,198.133
30,cbba,10,0.65,20,0.0,287.571
30,cbba,11,0.8,18,0.0,262.963
30,cbba,12,1.0,24,1.0,348.864
30,cbba,13,0.75,15,0.0,219.701
30,cbba,14,0.75,16,0.0,232.235
30,cbba,15,0.9,16,0.0,228.21
30,cbba,16,0.85,16,0.0,237.037
30,cbba,17,0.55,12,0.0,166.471
30,cbba,18,1.0,22,1.0,317.273
30,cbba,19,0.75,15,0.0,212.399
30,cbba,20,0.9,22,0.0,308.748
30,cbba,21,1.0,22,1.0,313.77
30,cbba,22,0.7,14,0.0,197.428
30,cbba,23,0.85,21,0.0,293.864
30,cbba,24,0.9,19,0.0,282.064
30,cbba,25,0.9,24,0.0,349.061
30,cbba,26,0.8,16,0.0,231.373
30,cbba,27,0.75,15,0.0,219.726
30,cbba,28,0.8,15,0.0,219.451
30,cbba,29,0.65,15,0.0,218.126
30,cbba,30,1.0,24,1.0,366.283
30,cbba,31,0.95,16,0.0,234.952
30,cbba,32,1.0,20,1.0,303.164
30,cbba,33,0.85,26,0.0,374.79
30,cbba,34,1.0,21,1.0,308.88
30,cbba,35,0.9,18,0.0,272.511
30,cbba,36,0.75,16,0.0,224.747
30,cbba,37,1.0,20,1.0,285.574
30,cbba,38,1.0,18,1.0,265.59
30,cbba,39,0.9,16,0.0,229.864
30,cbba,40,1.0,18,1.0,265.92
30,cbba,41,1.0,19,1.0,286.821
30,cbba,42,1.0,21,1.0,297.855
30,cbba,43,0.8,17,0.0,255.41
30,cbba,44,0.7,14,0.0,197.118
30,cbba,45,1.0,20,1.0,297.511
30,cbba,46,1.0,18,1.0,269.726
30,cbba,47,1.0,21,1.0,314.986
30,cbba,48,1.0,18,1.0,264.853
30,cbba,49,0.9,20,0.0,302.82
30,acbba,0,1.0,10,1.0,163.513
30,acbba,1,1.0,11,1.0,174.802
30,acbba,2,0.9,13,0.0,203.871
30,acbba,3,1.0,8,1.0,149.067
30,acbba,4,1.0,15,1.0,245.464
30,acbba,5,0.75,8,0.0,126.742
30,acbba,6,1.0,17,1.0,265.158
30,acbba,7,0.9,11,0.0,172.559
30,acbba,8,0.9,14,0.0,213.364
30,acbba,9,0.75,7,0.0,114.006
30,acbba,10,0.65,10,0.0,154.112
30,acbba,11,0.8,9,0.0,149.505
30,acbba,12,1.0,9,1.0,149.664
30,acbba,13,1.0,11,1.0,180.339
30,acbba,14,0.75,8,0.0,140.541
30,acbba,15,1.0,12,1.0,188.031
30,acbba,16,0.85,8,0.0,131.099
30,acbba,17,1.0,14,1.0,228.856
30,acbba,18,1.0,17,1.0,269.893
30,acbba,19,0.75,6,0.0,101.343
30,acbba,20,0.9,11,0.0,174.017
30,acbba,21,1.0,11,1.0,182.142
30,acbba,22,0.7,6,0.0,100.985
30,acbba,23,1.0,12,1.0,192.534
30,acbba,24,1.0,13,1.0,205.455
30,acbba,25,1.0,14,1.0,232.557
30,acbba,26,0.9,9,0.0,149.557
30,acbba,27,0.9,10,0.0,164.489
30,acbba,28,0.8,10,0.0,160.45
30,acbba,29,0.7,8,0.0,129.478
30,acbba,30,1.0,10,1.0,174.029
30,acbba,31,0.95,9,0.0,144.283
30,acbba,32,1.0,10,1.0,169.46
30,acbba,33,0.85,13,0.0,231.552
30,acbba,34,1.0,13,1.0,208.921
30,acbba,35,0.9,8,0.0,144.89
30,acbba,36,0.75,9,0.0,146.381
30,acbba,37,1.0,8,1.0,139.673
30,acbba,38,1.0,10,1.0,165.585
30,acbba,39,0.9,9,0.0,148.932
30,acbba,40,1.0,11,1.0,186.306
30,acbba,41,1.0,10,1.0,175.395
30,acbba,42,1.0,9,1.0,148.583
30,acbba,43,1.0,11,1.0,186.533
30,acbba,44,0.75,5,0.0,87.323
30,acbba,45,1.0,11,1.0,187.627
30,acbba,46,1.0,9,1.0,157.295
30,acbba,47,1.0,13,1.0,216.772
30,acbba,48,1.0,10,1.0,161.463
30,acbba,49,0.9,9,0.0,163.254
40,cbba,0,0.9,18,0.0,267.82
40,cbba,1,1.0,20,1.0,297.206
40,cbba,2,0.9,16,0.0,227.85
40,cbba,3,0.8,19,0.0,271.552
40,cbba,4,0.65,18,0.0,258.837
40,cbba,5,1.0,23,1.0,333.846
40,cbba,6,1.0,24,1.0,357.594
40,cbba,7,0.5,13,0.0,180.467
40,cbba,8,0.7,16,0.0,225.844
